Departure Date,Arrival Date,Departure Time,Arrival Time,Duration,Type of Flight,Price,Airline,Departure AirportArrival Airport,Departure Airport,Arrival Airport
2020-08-01,2020-08-01,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-01,2020-08-01,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-01,2020-08-01,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-01,2020-08-01,13:25:00,18:20:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-01,2020-08-01,00:50:00,05:40:00,4H50M,direct,649.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,12:10:00,17:00:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-02,2020-08-02,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-03,2020-08-03,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-03,2020-08-03,08:50:00,13:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-03,2020-08-03,12:30:00,17:20:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-03,2020-08-03,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-03,2020-08-03,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-04,2020-08-04,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-04,2020-08-04,08:50:00,13:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-04,2020-08-04,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-04,2020-08-04,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-04,2020-08-04,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-05,2020-08-05,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-05,2020-08-05,12:10:00,17:00:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-05,2020-08-05,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-05,2020-08-05,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-05,2020-08-05,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-06,2020-08-06,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-06,2020-08-06,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-06,2020-08-06,07:00:00,11:50:00,4H50M,direct,513.00,JETSTAR ASIA,,SIN,TPE
2020-08-06,2020-08-06,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
